index,prediction
0,0.709 gram
1,0.709 gram
2,0.709 gram
3,1400 milligram
4,1400 milligram
5,0.709 gram
6,1400 milligram
7,1400 milligram
8,500.0 gram
9,0.709 gram
10,0.709 gram
11,0.709 gram
12,500.0 gram
13,500.0 gram
14,1400 milligram
15,1400 milligram
16,1400 milligram
17,1400 milligram
18,1400 milligram
19,1400 milligram
20,1400 milligram
21,1400 milligram
22,1400 milligram
23,1400 milligram
24,0.709 gram
25,0.709 gram
26,1400 milligram
27,1400 milligram
28,500.0 gram
29,500.0 gram
30,500.0 gram
31,0.709 gram
32,1400 milligram
33,1400 milligram
34,1400 milligram
35,0.709 gram
36,0.709 gram
37,1400 milligram
38,1400 milligram
39,1400 milligram
40,1400 milligram
41,1400 milligram
42,1400 milligram
43,500.0 gram
44,500.0 gram
45,1400 milligram
46,0.709 gram
47,0.709 gram
48,1400 milligram
49,1400 milligram
50,1400 milligram
51,1400 milligram
52,1400 milligram
53,500.0 gram
54,500.0 gram
55,500.0 gram
56,1400 milligram
57,1400 milligram
58,1400 milligram
59,1400 milligram
60,1400 milligram
61,1400 milligram
62,500.0 gram
63,1400 milligram
64,1400 milligram
65,1400 milligram
66,500.0 gram
67,1400 milligram
68,1400 milligram
69,500.0 gram
70,500.0 gram
71,0.709 gram
72,0.709 gram
73,0.709 gram
74,0.709 gram
75,1400 milligram
76,1400 milligram
77,1400 milligram
78,1400 milligram
79,1400 milligram
80,1400 milligram
81,1400 milligram
82,1400 milligram
83,1400 milligram
84,0.709 gram
85,1400 milligram
86,1400 milligram
87,1400 milligram
